Disease,Precision,Recall,F1,ROC-AUC,Threshold
Normal,0.4927536231884058,0.695906432748538,0.576969696969697,0.7366103780103477,0.4000000059604645
Diabetes,0.46935201401050786,0.7928994082840237,0.5896589658965896,0.7715069259592072,0.30000001192092896
Glaucoma,0.4576271186440678,0.421875,0.43902439024390244,0.8416923868312758,0.5
Cataract,0.6419753086419753,0.8125,0.7172413793103448,0.9402006172839507,0.44999998807907104
AMD,0.4418604651162791,0.3958333333333333,0.4175824175824176,0.8567392037786774,0.699999988079071
Hypertension,0.13559322033898305,0.25,0.17582417582417584,0.6589579183266933,0.25
Myopia,0.8275862068965517,0.9230769230769231,0.8727272727272727,0.9818636647904939,0.3499999940395355
Other,0.33779761904761907,0.7721088435374149,0.4699792960662526,0.6506821057263876,0.3499999940395355
